[ERROR] [2017-05-08 10:23:26,875] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:07,530] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,530] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:07,531] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,740] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:08,740] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,741] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,741] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,741] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,741] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,742] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,742] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,742] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,742] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:08,742] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,966] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:09,967] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,969] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,970] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,971] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,971] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,973] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,974] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,975] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,975] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:09,976] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,128] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:11,128] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,128] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,129] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,129] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,129] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,130] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,130] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,130] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,130] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:11,131] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,337] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:12,337] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,338] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,338] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,338] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,339] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,340] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,340] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,341] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,342] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:12,342] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,655] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:13,657] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,657] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,657] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,658] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,658] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,658] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,658] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,658] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,659] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:13,659] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,798] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:14,799] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,799] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,800] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,800] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,800] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,800] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,800] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,801] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,801] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:14,801] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,941] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:15,941] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,942] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,942] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,942] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,942] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,942] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,943] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,943] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,943] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,943] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:15,944] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,135] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:17,135] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,135] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,136] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:17,137] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,363] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:18,363] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,363] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,365] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,366] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,366] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:18,366] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,594] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,595] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,596] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,596] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,596] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:19,596] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,822] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:20,824] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,824] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,824] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,825] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,825] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,826] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,826] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,827] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,828] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:20,828] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,965] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:21,966] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,966] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,966] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,966] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,967] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:21,968] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,281] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,282] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:23,283] [nioEventLoopGroup-3-8] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,509] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:24,509] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:24,510] [nioEventLoopGroup-3-1] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,651] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:25,652] [nioEventLoopGroup-3-2] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] there are not this hardware
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,006] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,007] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,007] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,007] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,007] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:27,007] [nioEventLoopGroup-3-3] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,146] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:28,147] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,147] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,148] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,148] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,148] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:28,149] [nioEventLoopGroup-3-4] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,430] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,431] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,432] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:29,432] [nioEventLoopGroup-3-5] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,651] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,652] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,653] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,653] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:30,653] [nioEventLoopGroup-3-6] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:31,836] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] there are no adapt type
[ERROR] [2017-05-08 13:26:31,836] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:31,836] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:31,836] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:31,836] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
[ERROR] [2017-05-08 13:26:31,837] [nioEventLoopGroup-3-7] [tcp.task.ServerTask] device has not register
